user_id,timestamp,trip_id,origin_lat,origin_lon,dest_lat,dest_lon,origin_antenna,dest_antenna,duration_min,distance_km,speed_kmh,transport_mode,trip_purpose,hour_of_day,locality
eaa938dcda90,2024-01-01 06:58:00,TRIP_eaa938_0_0,7.925473,-4.816139,7.909214,-4.815438,ANT_524,ANT_326,11,1.81,9.2,taxi,home_to_work,6,Bouake
eaa938dcda90,2024-01-02 06:03:00,TRIP_eaa938_1_0,7.950709,-4.849976,7.909689,-4.851342,ANT_158,ANT_466,8,4.56,33.9,taxi,home_to_work,6,Bouake
eaa938dcda90,2024-01-02 12:31:00,TRIP_eaa938_1_1,7.93781,-4.811816,7.939459,-4.811954,ANT_281,ANT_870,2,0.18,4.5,walking,other,12,Bouake
eaa938dcda90,2024-01-02 11:42:00,TRIP_eaa938_1_2,7.924965,-4.800751,7.938851,-4.830186,ANT_722,ANT_812,4,3.61,48.4,taxi,health,11,Bouake
eaa938dcda90,2024-01-02 16:30:00,TRIP_eaa938_1_3,7.921121,-4.800395,7.911946,-4.801644,ANT_824,ANT_390,5,1.03,11.9,personal_car,work_to_home,16,Bouake
eaa938dcda90,2024-01-03 07:33:00,TRIP_eaa938_2_0,7.979461,-4.809101,8.000577,-4.803829,ANT_182,ANT_451,15,2.42,9.4,personal_car,home_to_work,7,Bouake
eaa938dcda90,2024-01-03 10:06:00,TRIP_eaa938_2_1,7.931088,-4.809005,7.932932,-4.824457,ANT_460,ANT_401,11,1.73,9.1,taxi,health,10,Bouake
eaa938dcda90,2024-01-03 09:37:00,TRIP_eaa938_2_2,7.906326,-4.812611,7.909159,-4.825942,ANT_671,ANT_595,4,1.51,19.0,personal_car,work_internal,9,Bouake
eaa938dcda90,2024-01-03 16:42:00,TRIP_eaa938_2_3,7.925708,-4.81097,7.909903,-4.816344,ANT_904,ANT_438,13,1.85,8.5,personal_car,work_to_home,16,Bouake
eaa938dcda90,2024-01-04 05:53:00,TRIP_eaa938_3_0,7.921044,-4.785787,7.990076,-4.781848,ANT_455,ANT_196,9,7.67,47.8,personal_car,home_to_work,5,Bouake
eaa938dcda90,2024-01-05 05:35:00,TRIP_eaa938_4_0,7.895725,-4.870625,7.901986,-4.839989,ANT_243,ANT_881,7,3.47,27.0,personal_car,home_to_work,5,Bouake
eaa938dcda90,2024-01-05 15:41:00,TRIP_eaa938_4_1,7.970242,-4.819541,7.959349,-4.811557,ANT_438,ANT_246,6,1.5,13.4,motorbike,leisure,15,Bouake
eaa938dcda90,2024-01-05 17:36:00,TRIP_eaa938_4_2,7.978498,-4.80813,8.002219,-4.811981,ANT_822,ANT_611,11,2.67,13.6,personal_car,work_to_home,17,Bouake
eaa938dcda90,2024-01-06 09:37:00,TRIP_eaa938_5_0,7.937817,-4.834164,7.955698,-4.838743,ANT_176,ANT_405,8,2.05,15.2,motorbike,home_to_work,9,Bouake
eaa938dcda90,2024-01-06 19:30:00,TRIP_eaa938_5_1,7.971368,-4.816174,7.980847,-4.788941,ANT_622,ANT_444,4,3.2,40.4,personal_car,work_to_home,19,Bouake
14b5364c2ddd,2024-01-01 07:52:00,TRIP_14b536_0_0,5.36705,-4.098287,5.352274,-4.077832,ANT_186,ANT_386,9,2.8,17.5,personal_car,home_to_work,7,Abidjan-Ville
