user_id,age_group,gender,occupation,phone_type,subscription_type,home_lat,home_lon,home_h3,locality,department,region,urban_rural,household_size,initial_wealth_score,creation_timestamp
26cb453431b4,35-44,M,other,smartphone,prepaid,7.964074,-4.929585,877515640ffffff,Bouake,Gbeke,ValléeduBandama,urban,2,0.665,2026-01-13T15:03:43.071830
28f35c34c277,18-24,F,farmer,smartphone,prepaid,5.773797,-6.298045,8775a9954ffffff,Soubre,Nawa,Bas-Sassandra,rural,3,0.672,2026-01-13T15:03:43.073159
cc12056a0baa,25-34,M,farmer,smartphone,prepaid,9.020048,-5.018811,877514b0cffffff,Tafiere,Hambol,ValléeduBandama,rural,3,0.469,2026-01-13T15:03:43.074216
faff81a8011f,35-44,M,informal_sector,smartphone,prepaid,9.476151,-7.75523,87544a398ffffff,Odienné,Kabadougou,Denguélé,rural,6,0.562,2026-01-13T15:03:43.075084
b8a65ef82ac3,18-24,M,informal_sector,smartphone,prepaid,5.26217,-3.925192,877519b99ffffff,Abidjan-Ville,Abidjan,Abidjan,urban,5,0.603,2026-01-13T15:03:43.075891
e206bfc5f391,35-44,M,employee,smartphone,prepaid,5.269238,-4.713221,87751bba9ffffff,Dabou,GrandsPonts,Lagunes,rural,4,0.879,2026-01-13T15:03:43.076679
787b7bcf635d,25-34,F,farmer,basic,prepaid,5.280789,-4.01382,877519141ffffff,Abidjan-Ville,Abidjan,Abidjan,urban,3,0.319,2026-01-13T15:03:43.077464
dd62769a7435,25-34,F,farmer,basic,prepaid,7.323164,-4.514314,87751cd2effffff,Kouassikro,N'zi,Lacs,rural,4,0.103,2026-01-13T15:03:43.078261
325efc966a62,25-34,M,trader,feature,prepaid,6.335602,-5.721649,87751e79bffffff,Diegonefla,Gôh,Gôh-Djiboua,urban,2,0.55,2026-01-13T15:03:43.079037
f773f66be5c8,55+,F,student,feature,prepaid,7.718773,-6.050751,8775106a5ffffff,Kongasso,Béré,Woroba,urban,7,0.634,2026-01-13T15:03:43.079835
410ebeb1660b,18-24,F,informal_sector,smartphone,prepaid,5.37151,-4.060972,877519176ffffff,Abidjan-Ville,Abidjan,Abidjan,urban,4,0.81,2026-01-13T15:03:43.080592
b2e5ca52304b,25-34,M,other,feature,prepaid,6.757978,-6.455979,8775aca68ffffff,Daloa,Haut-Sassandra,Sassandra-Marahoué,urban,2,0.75,2026-01-13T15:03:43.081422
50b88269ecda,25-34,F,trader,basic,prepaid,5.815972,-6.018703,87751a518ffffff,Gagnoa,Gôh,Gôh-Djiboua,urban,6,0.434,2026-01-13T15:03:43.082204
cca4ff0fa4a0,35-44,F,farmer,smartphone,prepaid,7.064335,-4.514714,87751cc4effffff,Bocanda,N'zi,Lacs,urban,4,0.863,2026-01-13T15:03:43.082984
a22b0687b4df,45-54,M,farmer,feature,postpaid,7.678848,-4.883863,8775118e0ffffff,Bouake,Gbeke,ValléeduBandama,urban,6,0.758,2026-01-13T15:03:43.083783
7ce1efabf9f2,35-44,M,farmer,smartphone,prepaid,8.884845,-5.38517,877514074ffffff,Niakarmadougou,Hambol,ValléeduBandama,rural,3,0.715,2026-01-13T15:03:43.084565
f1d560185ba4,25-34,F,farmer,feature,prepaid,7.642548,-5.100999,877511c4dffffff,Bouake,Gbeke,ValléeduBandama,urban,8,0.449,2026-01-13T15:03:43.085313
e025e86c3342,18-24,M,student,feature,prepaid,5.396001,-4.123765,877519103ffffff,Abidjan-Ville,Abidjan,Abidjan,urban,6,0.642,2026-01-13T15:03:43.086121
3ab1c99d46d9,45-54,M,trader,feature,prepaid,9.432252,-5.85394,875449aabffffff,Korhogo,Poro,Savanes,urban,7,0.635,2026-01-13T15:03:43.086883
29baf8d59611,18-24,M,other,feature,postpaid,7.777131,-6.354036,877512ba9ffffff,Massala,Worodougou,Woroba,rural,4,0.541,2026-01-13T15:03:43.087798
5cae7e06a65c,35-44,M,employee,feature,postpaid,5.433762,-4.131943,877519106ffffff,Abidjan-Ville,Abidjan,Abidjan,urban,4,0.797,2026-01-13T15:03:43.089060
58ac3eb858d7,45-54,M,farmer,basic,prepaid,5.216729,-6.748177,8775a970affffff,San-Pedro,San-Pédro,Bas-Sassandra,urban,6,0.541,2026-01-13T15:03:43.090638
3676ab3fce80,45-54,M,farmer,smartphone,prepaid,5.263768,-3.956947,877519ab4ffffff,Abidjan-Ville,Abidjan,Abidjan,urban,3,0.637,2026-01-13T15:03:43.091660
21dc074df9de,25-34,F,trader,feature,prepaid,5.240681,-4.108324,877519072ffffff,Abidjan-Ville,Abidjan,Abidjan,urban,6,0.578,2026-01-13T15:03:43.092475
4b22dbcc98ae,18-24,F,trader,basic,prepaid,5.286302,-4.105852,877519028ffffff,Abidjan-Ville,Abidjan,Abidjan,urban,4,0.339,2026-01-13T15:03:43.094047
9cda550ec168,35-44,F,farmer,feature,prepaid,7.926627,-4.711624,8775152c3ffffff,Bouake,Gbeke,ValléeduBandama,urban,6,0.193,2026-01-13T15:03:43.095162
33511c532f06,18-24,M,trader,basic,prepaid,4.903575,-6.58204,877436952ffffff,San-Pedro,San-Pédro,Bas-Sassandra,urban,3,0.417,2026-01-13T15:03:43.095956
915b36620a13,45-54,F,trader,feature,prepaid,4.928282,-6.546135,877436955ffffff,San-Pedro,San-Pédro,Bas-Sassandra,urban,6,0.694,2026-01-13T15:03:43.096777
febcba295b6f,25-34,F,farmer,smartphone,postpaid,7.85726,-4.87326,87751191effffff,Bouake,Gbeke,ValléeduBandama,urban,2,0.917,2026-01-13T15:03:43.097801
cfb85a1d8b98,45-54,M,other,smartphone,prepaid,5.248422,-3.909607,877519aa4ffffff,Abidjan-Ville,Abidjan,Abidjan,urban,5,0.68,2026-01-13T15:03:43.098703
f6a3abc99346,18-24,F,farmer,feature,prepaid,6.857735,-5.433943,87751ec75ffffff,Yamoussoukro,Yamoussoukro,Yamoussoukro,urban,4,0.48,2026-01-13T15:03:43.099811
d8c2a954e4ce,25-34,F,farmer,basic,prepaid,10.074283,-5.028106,8775328a8ffffff,Ouangolodougou,Tchologo,Savanes,rural,4,0.093,2026-01-13T15:03:43.100620
5be396c932c4,25-34,M,farmer,basic,postpaid,6.730545,-6.529736,8775aca5cffffff,Gboguhe,Haut-Sassandra,Sassandra-Marahoué,rural,3,0.448,2026-01-13T15:03:43.101598
9d952fef5ef5,55+,F,other,basic,postpaid,6.9003,-4.382062,87751c154ffffff,Bocanda,N'zi,Lacs,rural,2,0.56,2026-01-13T15:03:43.102405
6d149b864e4f,25-34,F,informal_sector,basic,postpaid,7.438437,-6.139172,877513c2effffff,Zuénoula,Marahoué,Sassandra-Marahoué,rural,3,0.346,2026-01-13T15:03:43.103242
ec318cd01003,45-54,M,farmer,basic,prepaid,5.249902,-3.936865,877519b9bffffff,Abidjan-Ville,Abidjan,Abidjan,urban,2,0.211,2026-01-13T15:03:43.104013
94e6378bc6ae,45-54,M,informal_sector,smartphone,prepaid,6.698404,-6.287467,8775136ceffffff,Daloa,Haut-Sassandra,Sassandra-Marahoué,urban,5,0.783,2026-01-13T15:03:43.104803
c4839b113a18,25-34,F,employee,smartphone,prepaid,5.258481,-4.098537,877519076ffffff,Abidjan-Ville,Abidjan,Abidjan,urban,5,0.811,2026-01-13T15:03:43.105570
99923cda4097,18-24,F,trader,smartphone,prepaid,5.25022,-4.10887,87751900dffffff,Abidjan-Ville,Abidjan,Abidjan,urban,4,0.886,2026-01-13T15:03:43.106397
1a2a8b26d6c7,35-44,F,unemployed,basic,prepaid,6.851532,-5.416121,87751ec66ffffff,Yamoussoukro,Yamoussoukro,Yamoussoukro,urban,4,0.345,2026-01-13T15:03:43.107162
b952d21075e6,35-44,F,trader,feature,prepaid,5.333862,-4.061424,877519154ffffff,Abidjan-Ville,Abidjan,Abidjan,urban,4,0.538,2026-01-13T15:03:43.107951
975a7ab46497,18-24,F,employee,smartphone,prepaid,5.345364,-4.020425,877519175ffffff,Abidjan-Ville,Abidjan,Abidjan,urban,5,0.962,2026-01-13T15:03:43.108725
3f6233ce839e,35-44,M,employee,smartphone,postpaid,7.76189,-4.863404,877511801ffffff,Bouake,Gbeke,ValléeduBandama,urban,7,1.0,2026-01-13T15:03:43.109503
642691f303ca,45-54,M,farmer,basic,prepaid,5.792728,-5.056358,8775186a4ffffff,Divo,Lôh-Djiboua,Gôh-Djiboua,urban,2,0.221,2026-01-13T15:03:43.110256
